event_id,description,label
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\M38536.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\D38536.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\E38536.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\D38536.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\M38536.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\564d12be-a49c-7e9c-c8a7-ec97925b018b.vmem,removed,2025-02-07 15:50:07
E:\Kali Linux Image\564d12be-a49c-7e9c-c8a7-ec97925b018b.vmem.lck\M28631.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\564d12be-a49c-7e9c-c8a7-ec97925b018b.vmem.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmx~,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmx,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\D41958.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\E41958.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\D41958.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\E41958.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\D41958.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\M41958.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\D06331.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\E06331.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\D06331.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\E06331.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\D06331.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\M06331.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\D01319.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\E01319.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\D01319.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\E01319.lck,inserted,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\D01319.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck\M01319.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmsd.lck,removed,2025-02-07 15:50:07
E:\Kali Linux Image\Debian 6 64-bit.vmx.lck\M17468.lck,removed,2025-02-07 15:50:08
E:\Kali Linux Image\Debian 6 64-bit.vmx.lck,removed,2025-02-07 15:50:08
E:\System Volume Information\WPSettings.dat,removed,2025-02-07 22:16:57
"
instance of Win32_VolumeChangeEvent
{
	DriveName = ""D:"";
	EventType = 2;
	TIME_CREATED = ""133834210081017307"";
};
",inserted,2025-02-07 22:26:48,Drive: D:
"
instance of Win32_VolumeChangeEvent
{
	DriveName = ""D:"";
	EventType = 3;
	TIME_CREATED = ""133834210305892018"";
};
",removed,2025-02-07 22:27:10,Drive: D:
"
instance of Win32_VolumeChangeEvent
{
	DriveName = ""D:"";
	EventType = 2;
	TIME_CREATED = ""133834210419011666"";
};
",inserted,2025-02-07 22:27:21,Drive: D:
D:,removed,2025-02-07 22:30:11,Drive: D:
D:,inserted,2025-02-07 22:30:16,Drive: D:
D:,removed,2025-02-07 22:30:19,Drive: D:
D:,inserted,2025-02-07 22:30:24,Drive: D:
D:,removed,2025-02-07 22:30:28,Drive: D:
D:,inserted,2025-02-07 22:30:32,Drive: D:
D:,removed,2025-02-07 22:30:36,Drive: D:
D:,inserted,2025-02-07 22:30:40,Drive: D:
D:,inserted,2025-02-07 22:34:30,Drive: D:
D:,removed,2025-02-07 22:34:32,Drive: D:
D:,inserted,2025-02-07 22:34:38,Drive: D:
D:,removed,2025-02-07 22:34:42,Drive: D:
D:,inserted,2025-02-07 22:34:48,Drive: D:
D:,inserted,2025-02-07 22:37:18,Drive: D:
D:,removed,2025-02-07 22:37:27,Drive: D:
D:,inserted,2025-02-07 22:37:35,Drive: D:
D:,removed,2025-02-07 22:37:45,Drive: D:
D:,inserted,2025-02-07 22:37:50,Drive: D:
D:,removed,2025-02-07 23:02:47,Drive: D:
D:,inserted,2025-02-07 23:02:51,Drive: D:
D:,removed,2025-02-07 23:09:00,Drive: D:
D:,inserted,2025-02-07 23:09:04,Drive: D:
D:,removed,2025-02-07 23:14:46,Drive: D:
D:,inserted,2025-02-07 23:14:49,Drive: D:
D:,removed,2025-02-07 23:14:51,Drive: D:
D:,removed,2025-02-07 23:17:11,Drive: D:
D:,inserted,2025-02-07 23:17:15,Drive: D:
D:,inserted,2025-02-07 23:18:45,Drive: D:
D:,removed,2025-02-07 23:26:32,Drive: D:
D:,inserted,2025-02-07 23:26:38,Drive: D:
D:,removed,2025-02-07 23:26:41,Drive: D:
D:,removed,2025-02-07 23:55:18,Drive: D:
D:,inserted,2025-02-07 23:55:22,Drive: D:
D:,removed,2025-02-07 23:55:23,Drive: D:
D:,removed,2025-02-08 00:02:08,Drive: D:
D:,inserted,2025-02-08 00:02:14,Drive: D:
